TF	target	importance
Prkaa1	Rpl23a	59.71231383561526
Zfp651	Commd4	59.24741420073459
Zc3h11a	Commd4	54.19789265636784
Pbx2	Mtmr1	53.251604537120286
Zc3h11a	Crls1	39.412749701013084
Zc3h11a	Mfsd6	34.86504999912084
Zzz3	Crls1	33.81315484272798
Prkaa1	Crls1	32.45811004933909
Prkaa1	Gdi2	31.93989708601343
Zc3h11a	Rpl23a	31.8899893560799
Prkaa1	Dnaja2	30.422314973946808
Pbx2	Gdi2	30.19008198071163
Pbx2	Rpl23a	28.57444909316659
Prkaa1	Nav1	28.211014095783682
Zfp651	Rpl23a	27.205244086758565
Pbx2	Mfsd6	26.154107050389594
Prkaa1	Mfsd6	25.67179669495989
Zzz3	Mfsd6	25.58840254062814
Prkaa1	Commd4	25.585501061715078
Pbx2	Commd4	24.385709302277156
Zc3h11a	Gdi2	22.861939379711345
Zc3h11a	Cldn12	20.980370622504964
Zc3h11a	Pbx2	20.367602381330073
Zc3h11a	Snapc3	19.979415155440947
Zc3h11a	Nav1	19.97324239398629
Prkaa1	Fndc4	18.382163068000267
Pbx2	Crls1	18.13570478044278
Zc3h11a	Zgpat	17.44997778260905
Zc3h11a	Paox	16.54983734332838
Pbx2	Skiv2l2	16.068403110432225
Zzz3	Commd4	15.583482778905344
Zzz3	Zc3h11a	15.583098513731315
Zzz3	Pbx2	15.42374266382223
Zc3h11a	Mtmr12	15.34433337305453
Zc3h11a	Thap3	15.066863974306747
Prkaa1	Ciapin1	14.899072424528372
Prkaa1	Coq7	14.803522797726332
Zc3h11a	Mir1897	14.755760847920515
Zzz3	Rpl23a	14.618003628379682
Zc3h11a	Pxn	14.215801810629976
Zc3h11a	Wwc1	14.088146126366288
Zzz3	Mtmr1	13.749172057603428
Zc3h11a	Stk17b	13.524291162559972
Zzz3	Gdi2	13.490195559707447
Pbx2	Dnaja2	13.33455601869412
Zc3h11a	Skiv2l2	13.253608249904353
Prkaa1	Nprl3	13.180679383164874
Zfp651	Ciapin1	12.997932324681907
Pbx2	Zfp651	12.974519011275001
Prkaa1	Pus3	12.899242277769506
Pbx2	Timm10b	12.836553832097604
Zc3h11a	Zzz3	12.779199683009507
Zc3h11a	Glce	12.723014318665044
Prkaa1	Ccne1	12.42526285850727
Zc3h11a	Neto1	12.391005060103296
Zc3h11a	Psmg2	12.097020620988175
Zc3h11a	Wdr62	11.961545054729068
Zzz3	Gal3st3	11.82260571011905
Zzz3	Mar-03	11.780376485247908
Zc3h11a	Atp13a2	11.713627319305658
Pbx2	Rpl7	11.661020257239342
Zc3h11a	Phactr2	11.603409531400986
Zc3h11a	Prkaa1	11.411058010607801
Zc3h11a	Ctss	11.358546919801704
Zfp651	Crls1	11.180280626477062
Zc3h11a	Ubxn2b	11.169903241683377
Zc3h11a	Zc3h15	11.066244770521378
Zfp651	Prkaa1	10.9547270559987
Zc3h11a	Mapkap1	10.810470586093759
Prkaa1	Morn4	10.755866741994263
Zc3h11a	Mb21d1	10.724776050868556
Zfp651	Mfsd6	10.720643714901541
Zc3h11a	Nprl3	10.648918388231444
Pbx2	Nprl3	10.574759276301547
Zfp651	Casp8ap2	10.530552018627743
Zc3h11a	Ciapin1	10.479483861881265
Pbx2	Ciapin1	10.37959613679886
Prkaa1	Nptx2	10.360249267614336
Zzz3	Skiv2l2	10.351043565691592
Zzz3	Ciapin1	10.243915252109602
Prkaa1	Tph2	10.122822644337358
Prkaa1	Pbx2	10.108953959763488
Zc3h11a	Fndc4	10.101476176133252
Zfp651	Ppp4r1l-ps	10.036096303333164
Pbx2	Fndc4	9.895746434342296
Zc3h11a	Mtmr1	9.88566083142307
Pbx2	Prkaa1	9.732328259641296
Zc3h11a	Tmem258	9.424281834836307
Zc3h11a	Sorbs3	9.344885558874235
Prkaa1	Atp13a2	9.293322861360487
Zc3h11a	Ndst4	9.27930661062756
Zfp651	Usp25	9.089576816334692
Prkaa1	Snx5	9.082799000183536
Zzz3	Wwox	8.85094413325076
Zc3h11a	Zswim7	8.823551602162624
Zzz3	Nav1	8.818371933045285
Pbx2	Tmem258	8.807660445185967
Zc3h11a	Otub1	8.802640152497908
Zzz3	Rian	8.794198753969301
Pbx2	Hsph1	8.754854975478187
Zfp651	Dnaja2	8.669384586366325
Prkaa1	Acvr1c	8.617052705327719
Prkaa1	Mmgt2	8.59675946683988
Zfp651	Rpl7	8.530565596666873
Zfp651	Gdi2	8.51788599385615
Zzz3	Dnaja2	8.495536099315993
Zc3h11a	Cblb	8.467991396138165
Zc3h11a	Rab11fip3	8.462736981542804
Pbx2	Nav1	8.340227910656035
Prkaa1	Sorbs3	8.18377602218978
Zfp651	Cdc123	8.16413886624817
Zc3h11a	Mmgt2	8.163279490836599
Zfp651	Snapc3	8.109560877493676
Zfp651	Usp53	8.108367618796743
Zfp651	Pbx2	8.09970099508421
Prkaa1	Tbc1d32	8.017323161606583
Zc3h11a	Nup88	7.980115371793188
Zzz3	Atp13a2	7.867647872251971
Zc3h11a	Socs7	7.814722763125717
Zc3h11a	Ppargc1b	7.68896476071881
Zc3h11a	Paqr8	7.645480293647365
Prkaa1	Snapc3	7.64165998787334
Prkaa1	Hsph1	7.564354590548962
Pbx2	Paqr8	7.493090367137177
Prkaa1	Nptx1	7.479327370429944
Prkaa1	Skiv2l2	7.303913902525466
Zc3h11a	Usp53	7.244478801644924
Zc3h11a	Morn4	7.1287853123049025
Zc3h11a	Dnaja2	7.078208321676754
Prkaa1	Cblb	7.0771618778024115
Zzz3	Zswim7	7.037240530722919
Zc3h11a	Zfp651	7.017607716691953
Zc3h11a	Rian	6.931494053217861
Zzz3	Prkaa1	6.9018866737522035
Pbx2	Zzz3	6.891983337848702
Zfp651	Mb21d1	6.813209962405783
Prkaa1	Ubxn2b	6.795808983307079
Pbx2	Zc3h11a	6.738124423052393
Zzz3	Fndc4	6.7361245514007395
Zzz3	Zfp651	6.6976394714774115
Zc3h11a	Ppp4r1l-ps	6.671138701244848
Prkaa1	Wwox	6.669387716148771
Pbx2	Atp13a2	6.655338121454813
Zfp651	Ctss	6.624754567422506
Zc3h11a	Smim8	6.607002353250885
Zc3h11a	Tph2	6.589324604659659
Zc3h11a	Tbc1d32	6.558390658892549
Prkaa1	Casp8ap2	6.471673560561017
Pbx2	Cdh12	6.396067555808801
Zc3h11a	Sec14l2	6.361162820134132
Zfp651	Mar-03	6.358385098065872
Prkaa1	Zfp651	6.310233800555632
Prkaa1	Cdh12	6.289357606069096
Zzz3	Ppargc1b	6.288446600791856
Zzz3	Nprl3	6.274686523363128
Pbx2	Socs7	6.187435847528742
Zzz3	Cdh12	6.135893000271123
Prkaa1	Psmg2	6.131767690491161
Zc3h11a	Snx5	6.107242713165991
Prkaa1	Otub1	6.045714038311063
Zc3h11a	Ccne1	6.0359182436439385
Zzz3	Cblb	5.835650322574274
Zfp651	Acvr1c	5.807194247747208
Zzz3	Nup88	5.729464829782709
Prkaa1	Mtmr1	5.7249188037166014
Pbx2	Nptx1	5.723347986999762
Zc3h11a	Usp25	5.7102851216364465
Zzz3	Ctss	5.637163227649969
